Sample Time,Signal Value
6.78,0.028048764
6.79,-0.114645344
6.8,-0.674629973
6.81,-1.347445066
6.82,-1.798829885
6.83,-1.755175023
6.84,-1.163738045
6.85,-0.339360633
6.86,0.150349407
6.87,-0.095374371
6.88,-0.934133042
6.89,-1.753285481
6.9,-1.969176856
6.91,-1.48449069
6.92,-0.696057936
6.93,-0.124759624
6.94,-0.065030915
6.95,-0.500126137
6.96,-1.191195715
6.97,-1.773240811
6.98,-1.876682657
6.99,-1.356014001
7,-0.494757923
7.01,0.097783944
7.02,-0.055915174
7.03,-0.868594042
7.04,-1.727231444
7.05,-2.003070225
7.06,-1.551146907
7.07,-0.755215697
7.08,-0.160585456
7.09,-0.09402767
7.1,-0.545966732
7.11,-1.253039786
7.12,-1.819267982
7.13,-1.8714231
7.14,-1.298942293
7.15,-0.434774707
7.16,0.090671634
7.17,-0.165920903
7.18,-1.042788726
7.19,-1.864882353
7.2,-2.008103068
7.21,-1.409815428
7.22,-0.563629226
7.23,-0.070082301
7.24,-0.203357198
7.25,-0.817118007
7.26,-1.520578753
7.27,-1.898873561
7.28,-1.696405268
7.29,-0.983623905
7.3,-0.208777082
7.31,0.0410514
7.32,-0.491995357
7.33,-1.44240756
7.34,-2.062338364
7.35,-1.852043888
7.36,-0.996310256
7.37,-0.186411964
7.38,-0.019020967
7.39,-0.548420069
7.4,-1.339003645
7.41,-1.852691524
7.42,-1.790558231
7.43,-1.208081725
7.44,-0.461845147
7.45,-0.045136716
7.46,-0.300277677
7.47,-1.116489652
7.48,-1.904527266
7.49,-2.01360262
7.5,-1.307344775
7.51,-0.342543902
7.52,0.088258194
7.53,-0.35045886
7.54,-1.266527947
7.55,-1.920864705
7.56,-1.853437206
7.57,-1.18568157
7.58,-0.432271028
7.59,-0.0983449
7.6,-0.386410173
7.61,-1.111552148
7.62,-1.793679536
7.63,-1.922748021
7.64,-1.333506431
7.65,-0.424308448
7.66,0.074313526
7.67,-0.294281175
7.68,-1.259322845
7.69,-2.010928366
7.7,-1.912965403
7.71,-1.069824709
7.72,-0.206607236
7.73,-0.009836797
7.74,-0.572932346
7.75,-1.404708648
7.76,-1.88102602
7.77,-1.693234889
7.78,-0.999155927
7.79,-0.285366204
7.8,-0.068114991
7.81,-0.551019329
7.82,-1.418046642
7.83,-1.988212966
7.84,-1.742471774
7.85,-0.825441001
7.86,-0.001621534
7.87,-0.001924466
7.88,-0.839660741
7.89,-1.77819326
7.9,-2.005785224
7.91,-1.362571919
7.92,-0.435394
7.93,0.007768634
7.94,-0.338115906
7.95,-1.142026802
7.96,-1.770572028
7.97,-1.768561673
7.98,-1.146531317
7.99,-0.359164852
8,-0.010503167
8.01,-0.417736137
8.02,-1.306080085
8.03,-1.945463593
8.04,-1.742132708
8.05,-0.815702024
8.06,0.031981383
8.07,0.025255233
8.08,-0.843097596
8.09,-1.783922806
8.1,-1.951639183
8.11,-1.225763808
8.12,-0.281847456
8.13,0.065025083
8.14,-0.427441736
8.15,-1.292084953
8.16,-1.810902356
8.17,-1.595194902
8.18,-0.838889029
8.19,-0.13884814
8.2,-0.054454866
8.21,-0.683408358
8.22,-1.538318237
8.23,-1.884534706
8.24,-1.363851316
8.25,-0.382917917
8.26,0.177373795
8.27,-0.232939653
8.28,-1.264832059
8.29,-1.955865517
8.3,-1.647874078
8.31,-0.632085885
8.32,0.136330537
8.33,-0.036455103
8.34,-0.946322338
8.35,-1.736750058
8.36,-1.719996244
8.37,-0.962720395
8.38,-0.152817664
8.39,0.032054002
8.4,-0.531656845
8.41,-1.355633082
8.42,-1.746336495
8.43,-1.356570974
8.44,-0.487930902
8.45,0.113259772
8.46,-0.121903871
8.47,-1.03176096
8.48,-1.791928393
8.49,-1.652920177
8.5,-0.69630665
8.51,0.1790504
8.52,0.113079275
8.53,-0.844005518
8.54,-1.756429451
8.55,-1.731450952
8.56,-0.807046335
8.57,0.106629856
8.58,0.146039504
8.59,-0.679684693
8.6,-1.553752758
8.61,-1.669522801
8.62,-0.963310146
8.63,-0.10853673
8.64,0.132933438
8.65,-0.42736032
8.66,-1.274289846
8.67,-1.647732552
8.68,-1.197348467
8.69,-0.305152949
8.7,0.216475078
8.71,-0.149500717
8.72,-1.098217429
8.73,-1.723506365
8.74,-1.374371531
8.75,-0.344999134
8.76,0.353584653
8.77,-0.002296438
8.78,-1.075782072
8.79,-1.776178715
8.8,-1.377024953
8.81,-0.279937865
8.82,0.3976053
8.83,-0.018453029
8.84,-1.076790031
8.85,-1.69414076
8.86,-1.271476444
8.87,-0.266207301
8.88,0.318637574
8.89,-0.0564873
8.9,-0.980604719
8.91,-1.544255891
8.92,-1.222483202
8.93,-0.341657807
8.94,0.257446679
8.95,0.010153338
8.96,-0.847653696
8.97,-1.489653862
8.98,-1.271288589
8.99,-0.370156935
9,0.338300737
9.01,0.121911944
9.02,-0.838344235
9.03,-1.568664016
9.04,-1.28010789
9.05,-0.228364383
9.06,0.497940021
9.07,0.114254148
9.08,-0.991565535
9.09,-1.638764554
9.1,-1.1191584
9.11,0.022044583
9.12,0.565793983
9.13,-0.060203424
9.14,-1.166875048
9.15,-1.562627686
9.16,-0.839925596
9.17,0.212529469
9.18,0.48527267
9.19,-0.272517675
9.2,-1.22842303
9.21,-1.380771387
9.22,-0.598530785
9.23,0.286948083
9.24,0.372491389
9.25,-0.399809247
9.26,-1.215667389
9.27,-1.234515267
9.28,-0.437988966
9.29,0.358302169
9.3,0.33341885
9.31,-0.494342155
9.32,-1.264120355
9.33,-1.147769371
9.34,-0.233476733
9.35,0.523314251
9.36,0.294547487
9.37,-0.701557204
9.38,-1.384235097
9.39,-0.972668022
9.4,0.118572401
9.41,0.690123947
9.42,0.086330026
9.43,-1.034249759
9.44,-1.404479173
9.45,-0.581695614
9.46,0.522603989
9.47,0.660220571
9.48,-0.326111831
9.49,-1.309698659
9.5,-1.163696662
9.51,-0.052328291
9.52,0.760249681
9.53,0.361723768
9.54,-0.771717944
9.55,-1.337567311
9.56,-0.701054945
